"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
1725565950000,41721344000,3393605632,10047156224,28280582144,0
1725565980000,41721344000,3379007488,10047639552,28294696960,0
1725566010000,41721344000,3383975936,10048188416,28289179648,0
1725566040000,41721344000,3403845632,10048655360,28268843008,0
1725566070000,41721344000,3403853824,10049150976,28268339200,0
1725566100000,41721344000,3375005696,10049617920,28296720384,0
1725566130000,41721344000,3382550528,10050154496,28288638976,0
1725566160000,41721344000,3419865088,10050637824,28250841088,0
1725566190000,41721344000,3406712832,10051166208,28263464960,0
1725566220000,41721344000,3405864960,10051661824,28263817216,0
1725566250000,41721344000,3402203136,10052481024,28266659840,0
1725566280000,41721344000,3393589248,10052902912,28274851840,0
1725566310000,41721344000,3413258240,10053439488,28254646272,0
1725566340000,41721344000,3414740992,10053890048,28252712960,0
1725566370000,41721344000,3417210880,10054402048,28249731072,0
1725566400000,41721344000,3411222528,10054844416,28255277056,0
1725566430000,41721344000,3431927808,10055499776,28233916416,0
1725566460000,41721344000,3416154112,10055979008,28249210880,0
1725566490000,41721344000,3414392832,10064891904,28242059264,0
1725566520000,41721344000,3418648576,10065346560,28237348864,0
1725566550000,41721344000,3447668736,10065842176,28207833088,0
1725566580000,41721344000,3436765184,10066296832,28218281984,0
1725566610000,41721344000,3426144256,10066653184,28228546560,0
1725566640000,41721344000,3395731456,10067148800,28258463744,0
1725566670000,41721344000,3417899008,10067628032,28235816960,0
1725566700000,41721344000,3418042368,10068090880,28235210752,0
1725566730000,41721344000,3408474112,10068602880,28244267008,0
1725566760000,41721344000,3430985728,10069176320,28221181952,0
1725566790000,41721344000,3413008384,10069729280,28238606336,0
1725566820000,41721344000,3411972096,10070188032,28239183872,0
1725566850000,41721344000,3471601664,10070646784,28179095552,0
1725566880000,41721344000,3424382976,10071101440,28225859584,0
1725566910000,41721344000,3418501120,10071605248,28231237632,0
1725566940000,41721344000,3453898752,10072076288,28195368960,0
1725566970000,41721344000,3427684352,10072707072,28220952576,0
1725567000000,41721344000,3425894400,10073063424,28222386176,0
1725567030000,41721344000,3441827840,10073600000,28205916160,0
1725567060000,41721344000,3433086976,10074021888,28214235136,0
1725567090000,41721344000,3430555648,10074570752,28216217600,0
1725567120000,41721344000,3430322176,10075041792,28215980032,0
1725567150000,41721344000,3427897344,10075545600,28217901056,0
1725567180000,41721344000,3422355456,10075979776,28223008768,0
1725567210000,41721344000,3441057792,10076495872,28203790336,0
1725567240000,41721344000,3434164224,10076938240,28210241536,0
1725567270000,41721344000,3425165312,10077442048,28218736640,0
1725567300000,41721344000,3426217984,10077908992,28217217024,0
1725567330000,41721344000,3431890944,10078404608,28211048448,0
1725567360000,41721344000,3427958784,10078879744,28214505472,0
1725567390000,41721344000,3408134144,10079395840,28233814016,0
1725567420000,41721344000,3412926464,10079850496,28228567040,0
1725567450000,41721344000,3422851072,10080366592,28218126336,0
1725567480000,41721344000,3430707200,10080821248,28209815552,0
1725567510000,41721344000,3420073984,10081304576,28219965440,0
1725567540000,41721344000,3424854016,10081796096,28214693888,0
1725567570000,41721344000,3403485184,10082299904,28235558912,0
1725567600000,41721344000,3417391104,10082803712,28221149184,0
1725567630000,41721344000,3401437184,10087505920,28232400896,0
1725567660000,41721344000,3389153280,10087940096,28244250624,0
1725567690000,41721344000,3386105856,10088472576,28246765568,0
1725567720000,41721344000,3400253440,10088931328,28232159232,0
1725567750000,41721344000,3376906240,10089459712,28254978048,0
1725567780000,41721344000,3396968448,10089889792,28234485760,0
1725567810000,41721344000,3383500800,10090377216,28247465984,0
1725567840000,41721344000,3405320192,10090856448,28225167360,0
1725567870000,41721344000,3379507200,10091368448,28250468352,0
1725567900000,41721344000,3409035264,10091827200,28220481536,0
1725567930000,41721344000,3382304768,10092314624,28246724608,0
1725567960000,41721344000,3387568128,10092912640,28240863232,0
1725567990000,41721344000,3389804544,10093441024,28238098432,0
1725568020000,41721344000,3393298432,10093899776,28234145792,0
1725568050000,41721344000,3400732672,10094383104,28226228224,0
1725568080000,41721344000,3410116608,10094870528,28216356864,0
1725568110000,41721344000,3387396096,10095374336,28238573568,0
1725568140000,41721344000,3404025856,10095820800,28221497344,0
1725568170000,41721344000,3385597952,10096336896,28239409152,0
1725568200000,41721344000,3404648448,10096799744,28219895808,0
1725568230000,41721344000,3431006208,10097283072,28193054720,0
1725568260000,41721344000,3413041152,10097782784,28210520064,0
1725568290000,41721344000,3398361088,10098274304,28224708608,0
1725568320000,41721344000,3404374016,10098782208,28218187776,0
1725568350000,41721344000,3393417216,10099265536,28228661248,0
1725568380000,41721344000,3383513088,10099740672,28238090240,0
1725568410000,41721344000,3410792448,10100482048,28210069504,0
1725568440000,41721344000,3412639744,10101071872,28207632384,0
1725568470000,41721344000,3396485120,10101587968,28223270912,0
1725568500000,41721344000,3421417472,10102054912,28197871616,0
1725568530000,41721344000,3397722112,10102571008,28221050880,0
1725568560000,41721344000,3420348416,10103009280,28197986304,0
1725568590000,41721344000,3433172992,10103513088,28184657920,0
1725568620000,41721344000,3434586112,10104008704,28182749184,0
1725568650000,41721344000,3405553664,10104504320,28211286016,0
1725568680000,41721344000,3414654976,10104954880,28201734144,0
1725568710000,41721344000,3413618688,10105466880,28202258432,0
1725568740000,41721344000,3397779456,10105929728,28217634816,0
1725568770000,41721344000,3443159040,10106445824,28171739136,0
1725568800000,41721344000,3432271872,10107445248,28181626880,0
1725568830000,41721344000,3499941888,10107965440,28113436672,0
1725568860000,41721344000,3490488320,10108436480,28122419200,0
1725568890000,41721344000,3489542144,10108956672,28122845184,0
1725568920000,41721344000,2750783488,9976410112,28994150400,0
1725568950000,41721344000,3008868352,9978896384,28733579264,0
1725568980000,41721344000,3025514496,9979277312,28716552192,0
1725569010000,41721344000,3027689472,9979727872,28713926656,0
1725569040000,41721344000,3035623424,9980080128,28705640448,0
1725569070000,41721344000,3036606464,9980731392,28704006144,0
1725569100000,41721344000,3074768896,9981095936,28665479168,0
1725569130000,41721344000,3049467904,9981497344,28690378752,0
1725569160000,41721344000,3038535680,9981853696,28700954624,0
1725569190000,41721344000,3053514752,9982279680,28685549568,0
1725569220000,41721344000,3061227520,9982615552,28677500928,0
1725569250000,41721344000,3061678080,9983053824,28676612096,0
1725569280000,41721344000,3054157824,9983455232,28683730944,0
1725569310000,41721344000,3053879296,9983860736,28683603968,0
1725569340000,41721344000,3033559040,9984225280,28703559680,0
1725569370000,41721344000,3040358400,9984565248,28696420352,0
1725569400000,41721344000,3053293568,9984942080,28683108352,0
1725569430000,41721344000,3065110528,9985359872,28670873600,0
1725569460000,41721344000,3071959040,9985880064,28663504896,0
1725569490000,41721344000,3065229312,9986330624,28669784064,0
1725569520000,41721344000,3062902784,9986732032,28671709184,0
1725569550000,41721344000,3059195904,9987174400,28674973696,0
1725569580000,41721344000,3063668736,9987653632,28670021632,0
1725569610000,41721344000,3073613824,9988194304,28659535872,0
1725569640000,41721344000,3082084352,9988808704,28650450944,0
1725569670000,41721344000,3073220608,9989287936,28658835456,0
1725569700000,41721344000,3093045248,9989775360,28638523392,0
1725569730000,41721344000,3101478912,9990205440,28629659648,0
1725569760000,41721344000,3100545024,9990565888,28630233088,0
1725569790000,41721344000,3097595904,9990938624,28632809472,0
1725569820000,41721344000,3060019200,9991073792,28670251008,0
1725569850000,41721344000,3091935232,9990926336,28638482432,0
1725569880000,41721344000,3102089216,9991311360,28627943424,0
1725569910000,41721344000,3102412800,9991884800,28627046400,0
1725569940000,41721344000,3096231936,9992257536,28632854528,0
1725569970000,41721344000,3083853824,9992695808,28644794368,0
1725570000000,41721344000,3088662528,9993072640,28639608832,0
1725570030000,41721344000,3110748160,10003206144,28607389696,0
1725570060000,41721344000,3082436608,10003578880,28635328512,0
1725570090000,41721344000,3088125952,10003902464,28629315584,0
1725570120000,41721344000,3071868928,10004279296,28645195776,0
1725570150000,41721344000,3031482368,10004762624,28685099008,0
1725570180000,41721344000,3047550976,10005131264,28668661760,0
1725570210000,41721344000,3048828928,10005528576,28666986496,0
1725570240000,41721344000,3043454976,10005889024,28672000000,0
1725570270000,41721344000,3053961216,10006302720,28661080064,0
1725570300000,41721344000,2785165312,10004709376,28931469312,0
1725570330000,41721344000,2731929600,10005073920,28984340480,0
1725570360000,41721344000,3310297088,10028953600,28382093312,0
1725570390000,41721344000,3304349696,10029424640,28387569664,0
1725570420000,41721344000,3314176000,10029854720,28377313280,0
1725570450000,41721344000,3329056768,10030309376,28361977856,0
1725570480000,41721344000,3332669440,10030718976,28357955584,0
1725570510000,41721344000,3343777792,10031165440,28346400768,0
1725570540000,41721344000,3341770752,10031476736,28348096512,0
1725570570000,41721344000,3308900352,10031890432,28380553216,0
1725570600000,41721344000,3324039168,10032250880,28365053952,0
1725570630000,41721344000,3307868160,10032656384,28380819456,0
1725570660000,41721344000,3320238080,10033045504,28368060416,0
1725570690000,41721344000,3317202944,10033442816,28370698240,0
1725570720000,41721344000,3309342720,10033831936,28378169344,0
1725570750000,41721344000,3318841344,10034237440,28368265216,0
1725570780000,41721344000,3308023808,10034614272,28378705920,0
1725570810000,41721344000,3316469760,10035023872,28369850368,0
1725570840000,41721344000,3323236352,10035404800,28362702848,0
1725570870000,41721344000,3330142208,10035941376,28355260416,0
1725570900000,41721344000,3303297024,10036297728,28381749248,0
1725570930000,41721344000,3319058432,10036584448,28365701120,0
1725570960000,41721344000,3325927424,10036989952,28358426624,0
1725570990000,41721344000,3303137280,10037374976,28380831744,0
1725571020000,41721344000,3328991232,10037739520,28354613248,0
1725571050000,41721344000,3343732736,10038161408,28339449856,0
1725571080000,41721344000,3332177920,10038538240,28350627840,0
1725571110000,41721344000,3337228288,10038931456,28345184256,0
1725571140000,41721344000,3325874176,10039296000,28356173824,0
1725571170000,41721344000,3331219456,10039709696,28350414848,0
1725571200000,41721344000,3339100160,10040070144,28342173696,0
1725571230000,41721344000,3335233536,10040492032,28345618432,0
1725571260000,41721344000,3341312000,10040872960,28339159040,0
1725571290000,41721344000,3341307904,10041282560,28338753536,0
1725571320000,41721344000,3345948672,10041659392,28333735936,0
1725571350000,41721344000,3388071936,10042056704,28291215360,0
1725571380000,41721344000,3355500544,10042445824,28323397632,0
1725571410000,41721344000,3373383680,10042867712,28305092608,0
1725571440000,41721344000,3372232704,10043224064,28305887232,0
1725571470000,41721344000,3357683712,10043629568,28320030720,0
1725571500000,41721344000,3370217472,10044006400,28307120128,0
1725571530000,41721344000,3362615296,10044432384,28314296320,0
1725571560000,41721344000,3356827648,10044813312,28319703040,0
