"Time","recv br-12d023f77e6a","recv bri0","recv docker0","recv enp4s0","recv macvlan1","recv tailscale0","recv veth0d5c3b2","recv veth77ec78e","recv virbr0","trans br-12d023f77e6a ","trans bri0 ","trans docker0 ","trans enp4s0 ","trans macvlan1 ","trans tailscale0 ","trans veth0d5c3b2 ","trans veth77ec78e ","trans virbr0 "
1725561180000,0,9668.8,0,10811.2,undefined,0,undefined,0,0,0,38315.2,0,38507.2,undefined,0,undefined,0,0
1725561210000,0,5548.8,0,6556.8,undefined,0,undefined,0,0,0,44209.6,0,44424,undefined,0,undefined,0,0
1725561240000,0,11812.8,0,13000,undefined,0,undefined,0,0,0,38310.4,0,38502.4,undefined,0,undefined,0,0
1725561270000,0,3961.6,0,5219.2,undefined,0,undefined,0,0,0,44272,0,44464,undefined,0,undefined,0,0
1725561300000,0,6448,0,7456,undefined,0,undefined,0,0,0,38406.4,0,38627.2,undefined,0,undefined,0,0
1725561330000,0,4809.6,0,5571.2,undefined,0,undefined,0,0,0,42260.8,0,42452.8,undefined,0,undefined,0,0
1725561360000,0,5968,0,6732.8,undefined,0,undefined,0,0,0,38369.6,0,38561.6,undefined,0,undefined,0,0
1725561390000,0,7755.2,0,8920,undefined,0,undefined,0,0,0,42494.4,0,42686.4,undefined,0,undefined,0,0
1725561420000,0,6996.8,0,8027.2,undefined,0,undefined,0,0,0,38422.4,0,39172.8,undefined,0,undefined,0,0
1725561450000,0,5545.6,0,6352,undefined,0,undefined,0,0,0,38396.8,0,38588.8,undefined,0,undefined,0,0
1725561480000,0,8931.2,0,9961.6,undefined,0,undefined,0,0,0,39187.2,0,39379.2,undefined,0,undefined,0,0
1725561510000,0,3928,0,4779.2,undefined,0,undefined,0,0,0,38336,0,38528,undefined,0,undefined,0,0
1725561540000,0,45739.2,0,49937.6,undefined,0,undefined,0,0,0,38507.2,0,38699.2,undefined,0,undefined,0,0
1725561570000,0,10584,0,12497.6,undefined,0,undefined,0,0,0,38403.2,0,38595.2,undefined,0,undefined,0,0
1725561600000,0,11449.6,0,12793.6,undefined,0,undefined,0,0,0,38428.8,0,38620.8,undefined,0,undefined,0,0
1725561630000,0,7780.8,0,8788.8,undefined,0,undefined,0,0,0,38310.4,0,38502.4,undefined,0,undefined,0,0
1725561660000,0,10260.8,0,12302.4,undefined,0,undefined,0,0,0,38316.8,0,38508.8,undefined,0,undefined,0,0
1725561690000,0,6489.6,0,7452.8,undefined,0,undefined,0,0,0,38305.6,0,38497.6,undefined,0,undefined,0,0
1725561720000,0,15291.2,0,16993.6,undefined,0,undefined,0,0,0,40972.8,0,41187.2,undefined,0,undefined,0,0
1725561750000,0,7726.4,0,8868.8,undefined,0,undefined,0,0,0,38436.8,0,38628.8,undefined,0,undefined,0,0
1725561780000,0,10321.6,0,11755.2,undefined,0,undefined,0,0,0,40145.6,0,40337.6,undefined,0,undefined,0,0
1725561810000,0,11347.2,0,12668.8,undefined,0,undefined,0,0,0,38766.4,0,38958.4,undefined,0,undefined,0,0
1725561840000,0,9926.4,0,11091.2,undefined,0,undefined,0,0,0,44112,0,44304,undefined,0,undefined,0,0
1725561870000,0,11830.4,0,12972.8,undefined,0,undefined,0,0,0,38275.2,0,39025.6,undefined,0,undefined,0,0
1725561900000,0,7353.6,0,8652.8,undefined,0,undefined,0,0,0,44128,0,44320,undefined,0,undefined,0,0
1725561930000,0,11662.4,0,13163.2,undefined,0,undefined,0,0,0,38316.8,0,38508.8,undefined,0,undefined,0,0
