"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-05 16:17:15,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,291 kb/s,0 b/s,292 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:17:30,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,288 kb/s,0 b/s,288 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:17:45,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,281 kb/s,0 b/s,281 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:18:00,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,292 kb/s,0 b/s,293 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:18:15,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,289 kb/s,0 b/s,289 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:18:30,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,288 kb/s,0 b/s,289 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:18:45,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,284 kb/s,0 b/s,285 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:19:00,0 b/s,0 b/s,0 b/s,0 b/s,104 Mb/s,0 b/s,105 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,323 kb/s,0 b/s,324 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:19:15,0 b/s,0 b/s,0 b/s,0 b/s,105 Mb/s,0 b/s,106 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,388 kb/s,0 b/s,388 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:19:30,0 b/s,0 b/s,0 b/s,0 b/s,95.2 Mb/s,0 b/s,96.1 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,280 kb/s,0 b/s,280 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:19:45,0 b/s,0 b/s,0 b/s,0 b/s,82.6 kb/s,0 b/s,87.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:20:00,0 b/s,0 b/s,0 b/s,0 b/s,218 kb/s,0 b/s,224 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,173 kb/s,0 b/s,174 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:20:15,0 b/s,0 b/s,0 b/s,0 b/s,218 kb/s,0 b/s,224 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,173 kb/s,0 b/s,174 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:20:30,0 b/s,0 b/s,0 b/s,0 b/s,218 kb/s,0 b/s,224 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,173 kb/s,0 b/s,174 kb/s,0 b/s,0 b/s,0 b/s
