"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-03-04 17:52:00,38.9 GiB,1.31 GiB,3.27 GiB,34.3 GiB,0 B
2024-03-04 17:52:15,38.9 GiB,1.30 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:52:30,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:52:45,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:53:00,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:53:15,38.9 GiB,1.32 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:53:30,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:53:45,38.9 GiB,1.32 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:54:00,38.9 GiB,1.32 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:54:15,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:54:30,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:54:45,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:55:00,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:55:15,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:55:30,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:55:45,38.9 GiB,1.31 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:56:00,38.9 GiB,1.32 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:56:15,38.9 GiB,1.32 GiB,3.28 GiB,34.3 GiB,0 B
2024-03-04 17:56:30,38.9 GiB,1.32 GiB,3.28 GiB,34.3 GiB,0 B
