"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth002f3a0","recv veth26bb1ac","recv veth87a6e6e","recv veth9b70a02","recv vethafd5ab8","recv vethb92efdb","recv vethc74234b","recv vethc9ef2b2","recv vethef092b8","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth002f3a0 ","trans veth26bb1ac ","trans veth87a6e6e ","trans veth9b70a02 ","trans vethafd5ab8 ","trans vethb92efdb ","trans vethc74234b ","trans vethc9ef2b2 ","trans vethef092b8 ","trans wlp0s20f3 "
2024-03-04 17:50:45,0 b/s,0 b/s,8.49 kb/s,1.80 kb/s,0 b/s,158 b/s,0 b/s,336 b/s,336 b/s,2.30 kb/s,984 b/s,336 b/s,435 b/s,801 b/s,0 b/s,0 b/s,17.8 kb/s,2.07 kb/s,0 b/s,158 b/s,0 b/s,197 b/s,197 b/s,2.16 kb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:51:00,0 b/s,0 b/s,55.8 kb/s,47.7 kb/s,56.5 b/s,0 b/s,0 b/s,761 b/s,672 b/s,50.6 kb/s,1.97 kb/s,672 b/s,848 b/s,133 b/s,0 b/s,0 b/s,66.1 kb/s,49.4 kb/s,88.5 b/s,0 b/s,0 b/s,450 b/s,394 b/s,49.9 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:51:15,0 b/s,0 b/s,5.77 kb/s,1.71 kb/s,44.8 b/s,135 b/s,0 b/s,381 b/s,336 b/s,2.18 kb/s,984 b/s,336 b/s,413 b/s,990 b/s,0 b/s,0 b/s,17.7 kb/s,1.95 kb/s,44.8 b/s,135 b/s,0 b/s,242 b/s,197 b/s,2.04 kb/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
2024-03-04 17:51:30,0 b/s,0 b/s,28.2 kb/s,18.2 kb/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,20.0 kb/s,1.97 kb/s,672 b/s,870 b/s,87.5 b/s,0 b/s,0 b/s,35.3 kb/s,19.4 kb/s,0 b/s,0 b/s,0 b/s,394 b/s,394 b/s,19.9 kb/s,3.45 kb/s,394 b/s,500 b/s,0 b/s
2024-03-04 17:51:45,0 b/s,0 b/s,47.8 kb/s,40.5 kb/s,0 b/s,135 b/s,0 b/s,336 b/s,336 b/s,42.0 kb/s,984 b/s,336 b/s,413 b/s,801 b/s,0 b/s,0 b/s,57.8 kb/s,41.0 kb/s,0 b/s,135 b/s,0 b/s,197 b/s,197 b/s,41.1 kb/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
2024-03-04 17:52:00,0 b/s,0 b/s,35.9 kb/s,26.2 kb/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,28.4 kb/s,1.97 kb/s,672 b/s,848 b/s,505 b/s,0 b/s,0 b/s,43.8 kb/s,28.0 kb/s,0 b/s,0 b/s,0 b/s,394 b/s,394 b/s,28.5 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:52:15,0 b/s,0 b/s,7.27 kb/s,1.65 kb/s,0 b/s,56.5 b/s,0 b/s,336 b/s,336 b/s,2.20 kb/s,984 b/s,336 b/s,435 b/s,1.06 kb/s,0 b/s,0 b/s,17.7 kb/s,1.87 kb/s,0 b/s,56.5 b/s,0 b/s,197 b/s,197 b/s,2.06 kb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:52:30,0 b/s,0 b/s,21.0 kb/s,11.0 kb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,12.2 kb/s,1.97 kb/s,672 b/s,826 b/s,89.6 b/s,0 b/s,0 b/s,27.4 kb/s,11.7 kb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,12.1 kb/s,3.45 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:52:45,0 b/s,0 b/s,10.7 kb/s,4.14 kb/s,0 b/s,101 b/s,0 b/s,336 b/s,336 b/s,4.77 kb/s,984 b/s,336 b/s,435 b/s,843 b/s,0 b/s,0 b/s,20.2 kb/s,4.46 kb/s,0 b/s,101 b/s,0 b/s,197 b/s,197 b/s,4.60 kb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:53:00,0 b/s,0 b/s,10.6 kb/s,2.68 kb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,3.64 kb/s,1.97 kb/s,672 b/s,826 b/s,99.2 b/s,0 b/s,0 b/s,18.7 kb/s,2.97 kb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,3.36 kb/s,3.45 kb/s,394 b/s,455 b/s,0 b/s
