"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv ip_vti0","recv veth12dd5df","recv veth1c3c36b","recv veth3a1e070","recv veth5040e0e","recv veth56531bb","recv veth7a6539b","recv veth846a426","recv veth9202ca9","recv vetha7cb358","recv vethb5e236d","recv vethc2d84b4","recv vethf152619","recv vethfead0d0","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans ip_vti0 ","trans veth12dd5df ","trans veth1c3c36b ","trans veth3a1e070 ","trans veth5040e0e ","trans veth56531bb ","trans veth7a6539b ","trans veth846a426 ","trans veth9202ca9 ","trans vetha7cb358 ","trans vethb5e236d ","trans vethc2d84b4 ","trans vethf152619 ","trans vethfead0d0 ","trans wlp0s20f3 "
2024-03-04 18:20:45,3.13 kb/s,0 b/s,10.2 kb/s,0 b/s,0 b/s,277 b/s,814 b/s,524 b/s,113 b/s,2.65 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,45.9 b/s,2.68 kb/s,0 b/s,21.5 kb/s,0 b/s,0 b/s,695 b/s,192 b/s,904 b/s,113 b/s,2.60 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:21:00,881 b/s,0 b/s,6.88 kb/s,0 b/s,0 b/s,209 b/s,509 b/s,455 b/s,0 b/s,514 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,179 b/s,571 b/s,0 b/s,19.1 kb/s,0 b/s,0 b/s,658 b/s,56.5 b/s,904 b/s,0 b/s,514 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:21:15,1.59 kb/s,0 b/s,6.37 kb/s,0 b/s,0 b/s,277 b/s,814 b/s,524 b/s,113 b/s,1.12 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,0 b/s,1.22 kb/s,0 b/s,19.6 kb/s,0 b/s,0 b/s,658 b/s,192 b/s,904 b/s,113 b/s,1.14 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:21:30,707 b/s,0 b/s,7.80 kb/s,0 b/s,0 b/s,209 b/s,678 b/s,455 b/s,0 b/s,133 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,131 b/s,189 b/s,0 b/s,18.7 kb/s,0 b/s,0 b/s,658 b/s,93.9 b/s,904 b/s,0 b/s,133 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:21:45,757 b/s,0 b/s,7.26 kb/s,0 b/s,0 b/s,277 b/s,735 b/s,524 b/s,113 b/s,262 b/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,223 b/s,319 b/s,0 b/s,18.7 kb/s,0 b/s,0 b/s,658 b/s,170 b/s,904 b/s,113 b/s,262 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:22:00,4.06 kb/s,0 b/s,9.32 kb/s,0 b/s,0 b/s,209 b/s,622 b/s,455 b/s,0 b/s,3.72 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,384 b/s,3.76 kb/s,0 b/s,22.3 kb/s,0 b/s,0 b/s,658 b/s,56.5 b/s,904 b/s,0 b/s,3.70 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:22:15,713 b/s,0 b/s,4.17 kb/s,0 b/s,0 b/s,277 b/s,701 b/s,524 b/s,56.5 b/s,188 b/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,87.5 b/s,267 b/s,0 b/s,18.7 kb/s,0 b/s,0 b/s,658 b/s,135 b/s,904 b/s,56.5 b/s,188 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:22:30,843 b/s,0 b/s,7.92 kb/s,0 b/s,0 b/s,244 b/s,565 b/s,455 b/s,56.5 b/s,476 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.91 kb/s,0 b/s,43.7 b/s,532 b/s,0 b/s,19.1 kb/s,0 b/s,0 b/s,693 b/s,113 b/s,904 b/s,56.5 b/s,476 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.12 kb/s,0 b/s,0 b/s
2024-03-04 18:22:45,1.13 kb/s,0 b/s,6.75 kb/s,0 b/s,0 b/s,277 b/s,825 b/s,559 b/s,101 b/s,586 b/s,0 b/s,277 b/s,0 b/s,0 b/s,313 b/s,2.95 kb/s,0 b/s,0 b/s,687 b/s,0 b/s,19.3 kb/s,0 b/s,0 b/s,658 b/s,203 b/s,939 b/s,101 b/s,586 b/s,0 b/s,658 b/s,0 b/s,0 b/s,693 b/s,1.43 kb/s,0 b/s,0 b/s
2024-03-04 18:23:00,1.22 kb/s,0 b/s,5.93 kb/s,0 b/s,0 b/s,209 b/s,475 b/s,455 b/s,56.5 b/s,1.01 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,99.2 b/s,1.03 kb/s,0 b/s,19.2 kb/s,0 b/s,0 b/s,658 b/s,78.9 b/s,904 b/s,56.5 b/s,1.01 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
